source_log,network,model,training_budget,elapsed_time,elapsed_seconds,seconds_per_iteration,wall_elapsed_seconds,saved_model_path
gnts-old_run1.log,Youtube,LocalGNTS,14,20:07,1207,12.08,1207.909,/kaggle/working/models/Youtube_LocalGNTS.pt
gnts-old_run1.log,Youtube,GlobalGNTS,14,13:23,803,8.03,803.457,/kaggle/working/models/Youtube_GlobalGNTS.pt
gnts-old_run1.log,SBM-1k,LocalGNTS,14,08:04,484,4.85,484.838,/kaggle/working/models/SBM-1k_LocalGNTS.pt
gnts-old_run1.log,SBM-1k,GlobalGNTS,14,04:12,252,2.53,252.901,/kaggle/working/models/SBM-1k_GlobalGNTS.pt
gnts-old_run1.log,SBM-2k,LocalGNTS,14,06:24,384,3.84,384.345,/kaggle/working/models/SBM-2k_LocalGNTS.pt
gnts-old_run1.log,SBM-2k,GlobalGNTS,14,04:34,274,2.75,275.167,/kaggle/working/models/SBM-2k_GlobalGNTS.pt
gnts-old_run1.log,SBM-3k,LocalGNTS,14,05:29,329,3.30,330.03,/kaggle/working/models/SBM-3k_LocalGNTS.pt
gnts-old_run1.log,SBM-3k,GlobalGNTS,14,05:48,348,3.48,348.499,/kaggle/working/models/SBM-3k_GlobalGNTS.pt
gnts-old_run1.log,SBM-4k,LocalGNTS,14,09:36,576,5.77,576.703,/kaggle/working/models/SBM-4k_LocalGNTS.pt
gnts-old_run1.log,SBM-4k,GlobalGNTS,14,08:44,524,5.25,524.797,/kaggle/working/models/SBM-4k_GlobalGNTS.pt
gnts-old.log,LiveJournal,LocalGNTS,14,23:44,1424,14.25,1424.908,/kaggle/working/models/LiveJournal_LocalGNTS.pt
gnts-old.log,LiveJournal,GlobalGNTS,14,16:37,997,9.97,997.396,/kaggle/working/models/LiveJournal_GlobalGNTS.pt
gnts-old.log,Orkut,LocalGNTS,14,28:04,1684,16.84,1684.297,/kaggle/working/models/Orkut_LocalGNTS.pt
gnts-old.log,Orkut,GlobalGNTS,14,26:01,1561,15.62,1561.874,/kaggle/working/models/Orkut_GlobalGNTS.pt
gnts-old.log,SBM-5k-Zero,LocalGNTS,14,07:57,477,4.78,477.801,/kaggle/working/models/SBM-5k-Zero_LocalGNTS.pt
gnts-old.log,SBM-5k-Zero,GlobalGNTS,14,13:14,794,7.95,795.004,/kaggle/working/models/SBM-5k-Zero_GlobalGNTS.pt
gnts-old.log,SBM-5k-Low,LocalGNTS,14,07:49,469,4.70,469.876,/kaggle/working/models/SBM-5k-Low_LocalGNTS.pt
gnts-old.log,SBM-5k-Low,GlobalGNTS,14,11:35,695,6.96,695.99,/kaggle/working/models/SBM-5k-Low_GlobalGNTS.pt
gnts-old.log,SBM-5k-Med,LocalGNTS,14,07:42,462,4.63,462.777,/kaggle/working/models/SBM-5k-Med_LocalGNTS.pt
gnts-old.log,SBM-5k-Med,GlobalGNTS,14,09:44,584,5.85,584.816,/kaggle/working/models/SBM-5k-Med_GlobalGNTS.pt
gnts-old.log,SBM-5k-High,LocalGNTS,14,07:38,458,4.58,458.369,/kaggle/working/models/SBM-5k-High_LocalGNTS.pt
gnts-old.log,SBM-5k-High,GlobalGNTS,14,06:41,401,4.02,401.738,/kaggle/working/models/SBM-5k-High_GlobalGNTS.pt
gnts-old.log,SBM-5k-Max,LocalGNTS,14,07:26,446,4.46,446.446,/kaggle/working/models/SBM-5k-Max_LocalGNTS.pt
gnts-old.log,SBM-5k-Max,GlobalGNTS,14,05:34,334,3.34,334.219,/kaggle/working/models/SBM-5k-Max_GlobalGNTS.pt
