Network,Compartment,MaxAbsDev,KS_stat,KS_pval,PASS
SBM-1k,S,33.2,0.25,0.5713,✅
SBM-1k,E,7.55,0.25,0.5713,✅
SBM-1k,I,8.65,0.1,1.0,✅
SBM-1k,A,11.05,0.2,0.832,✅
SBM-1k,Q,0.0,0.0,1.0,✅
SBM-1k,R,25.4,0.2,0.832,✅
SBM-2k,S,24.3,0.2,0.832,✅
SBM-2k,E,13.45,0.25,0.5713,✅
SBM-2k,I,13.95,0.15,0.9831,✅
SBM-2k,A,4.7,0.3,0.3356,✅
SBM-2k,Q,0.0,0.0,1.0,✅
SBM-2k,R,18.45,0.2,0.832,✅
SBM-3k,S,10.95,0.25,0.5713,✅
SBM-3k,E,14.1,0.2,0.832,✅
SBM-3k,I,15.05,0.3,0.3356,✅
SBM-3k,A,14.6,0.15,0.9831,✅
SBM-3k,Q,0.0,0.0,1.0,✅
SBM-3k,R,14.3,0.2,0.832,✅
SBM-4k,S,100.25,0.2,0.832,✅
SBM-4k,E,55.35,0.25,0.5713,✅
SBM-4k,I,45.7,0.2,0.832,✅
SBM-4k,A,18.25,0.2,0.832,✅
SBM-4k,Q,0.0,0.0,1.0,✅
SBM-4k,R,27.1,0.3,0.3356,✅
